Food,Category,Calories
petit beurre tablette choco,fr:gouter-petit-beurre-chocolat,0.05112332695984704
baguette constance,en:baguettes,0.02829827915869981
saumon fumé cajun,en:smoked-salmons,0.021391013384321225
confiture extra de fraise bio,en:strawberry-jams,0.016849904397705544
creamy peanut butter,en:protein,0.04500478011472275
"welch's, pb&j trail mix, grape",en:snacks,0.047108030592734225
formula 1 mirtillo,en:alimenti-in-scatola-pasti-supplementi-dietetici,0.0390057361376673
pommes cannelle séchées,en:dried-fruits,0.029206500956022945
beignets à la pomme,en:sweet-fritters,0.030090822179732312
"piasten, chocolate assortment",en:chocolate-candies,0.048494263862332694
biscotti proteici,it:biscotti-proteici,0.042710325047801145
55 protein  bar,en:protein-energy-bars,0.04639101338432122
saucisses de poulet saveur aux herbes,en:chicken-sausages,0.023398661567877628
designer whey protein vanilla,en:protein-powders,0.0374282982791587
boisson instantanée tea,en:brewed-infusions-without-sugar,0.03499043977055449
bush’s brown sugar hickory baked beans,en:fresh-parsley,0.002007648183556405
alfajor dulce de leche,en:alfajores,0.030592734225621414
croissant au beurre,en:butter-croissants,0.03840822179732314
"mcvitie's, digestives cheesecake, lemon",en:biscuits,0.050908221797323135
mini beignets assortis,en:sweet-fritters,0.044096558317399615
madeleines chocolait,en:chocolate-madeleines,0.046032504780114725
cottage cheese,en:dairies,0.009727533460803059
broccoli crown,en:fruits-and-vegetables-based-foods,0.0033938814531548757
multi collagen gummies,en:dietary-supplements,0.07999521988527725
all natural baked not fried yellow corn tortilla chips,en:corn-chips,0.04290152963671128
spray sweetener,en:sugars,0.0
cookie pro,en:biscuits,0.04440726577437858
pur jus de pomme,en:squeezed-apple-juices,0.005282026768642447
vegan grilled cheese toastie crisps,en:potato-crisps,0.04708413001912046
croissant pure beurre x2,en:butter-croissants,0.04290152963671128
"welch's, freeze-dried mango slices",en:snacks,0.035707456978967496
risto piatti fusilli alla sorrentina senza glutine,en:meals,0.014196940726577437
the best chocolate chip cookies in the world,en:biscuits,0.013193116634799235
coca-cola,en:sodas,0.004206500956022944
macaron,en:macarons,0.047394837476099426
diablo gaufrette sans sucre,en:confectioneries,0.04729923518164436
casoncelli alla bresciana,it:casoncelli,0.02380497131931166
tomato sauce with eggplants,en:groceries,0.005592734225621415
boisson nutritionnelle formula 1 strawberry,en:meal-replacements,0.03499043977055449
filet de poulet rôti,fr:filets-de-poulet-rotis,0.01410133843212237
"lactaid, ice cream, vanilla",en:frozen-desserts,0.021104206500956024
gaufres,en:biscuits-and-cakes,0.032504780114722756
chokodomi pâte à tartiner chocolat noisettes bio,en:cocoa-and-hazelnuts-spreads,0.05693116634799235
organic peanut butter powder,en:risottos,0.02170172084130019
bebida de proteína en polvo / proteínas drink milk,en:protein-shakes,0.04206500956022945
nutrional shake,en:beverages,0.03979445506692161
apple,en:granny-smith-apples,0.020195984703632888
whey protein aus molke vanilla,en:protein-powders,0.0392925430210325
birthday cake flavor protein,en:dietary-supplements,0.04034416826003824
пиде с квас,en:хляб,0.023924474187380498
burrito,en:burritos,0.01639579349904398
eclairs,en:chocolate-eclairs,0.023709369024856597
hatchers caramel filled milk chocolate,en:chocolate-candies,0.055305927342256214
sunquick,en:beverages,0.008508604206500956
"the madelaine chocolate company, solid dark chocolate",en:chocolate-candies,0.05250956022944551
fresh spinach,en:fruits-and-vegetables-based-foods,0.002390057361376673
jus de pomme,en:apple-juices,0.004302103250478011
penne trigo sarraceno,en:penne,0.03470363288718929
"candy crush, mixed fruit gummies, blue raspberry, green apple, lemon, cherry, orange, grape",en:confectioneries,0.029995219885277247
the best chocolate chip cookies in the world,en:biscuits,0.013193116634799235
leicht&cross,en:extruded-crispbreads,0.0370697896749522
honduran king prawns m&s,en:cooked-prawns,0.011472275334608031
bone broth powder,en:protein-shakes,0.04091778202676864
"welch's, red apple chips",en:snacks,0.03809751434034417
croissant pur beurre,en:butter-croissants,0.042710325047801145
2 no chicken kievs,en:chicken-kievs-substitutes,0.022108030592734227
almond butter,en:almond-butters,0.0625
fanta ananas,en:beverages,0.005066921606118547
pain complet,en:wholemeal-breads,0.025693116634799236
choco changer salted caramel,en:chocolates,0.05370458891013384
whey protein aus molke 1000 gramm vanilla,en:protein-powders,0.0392925430210325
leffe,fr:pates-a-tartiner,0.005807839388145316
melon medley,en:fruits,0.0029636711281070746
"candy crush, color bombs fun book",en:confectioneries,0.04500478011472275
nutrastart,en:bodybuilding-supplements,0.00781548757170172
"candy crush, rainbow bites, strawberry, watermelon",en:confectioneries,0.0375
tortitas de trigo- roti wraps,en:wheat-flatbreads,0.028895793499043976
"welch's, dried cranberries, concord grape",en:snacks,0.032504780114722756
saint hubert,en:plant-based-foods,0.47000478011472274
purée mix tropical harmony + aloe,en:syrups,0.0365678776290631
bijou tradition pâtissiere,en:madeleines,0.050908221797323135
fruit snack,en:confectioneries,0.027509560229445507
saint hubert 41,en:margarines,0.0369980879541109
gigli pasta di legumi,en:pastas,0.030688336520076482
baguette bressan,en:baguettes,0.01598948374760994
glace  bofrost,en:ice-creams,0.030090822179732312
bisto gravy powder,en:sauces,0.023996175908221798
velouté de tomates,en:tomato-soups,0.0036089866156787764
isalean shake chocolate,en:bodybuilding-supplements,0.023996175908221798
galette des rois frangipane,en:twelfth-night-cake-with-almond-paste,0.046797323135755256
whey birthday cake shake,en:protein-powders,0.04034416826003824
ginseng tea,en:beverages,0.025
croissant,en:butter-croissants,0.003011472275334608
krautsalat,en:dried-figs,0.017041108986615677
pindakaas,en:peanut-butters,0.0625
velouté de 8 légumes,en:vegetable-soups,0.004349904397705545
organic coconut sparkling spring water,en:waters,0.0
organic french acacia honey,en:acacia-honeys,0.0059990439770554495
protein powder,en:protein-powders,0.0365678776290631
cheese toastie with heinz beanz flavour potato crisps,en:potato-crisps,0.0511472275334608
tostadas de ositos,en:toasts,0.04493307839388145
honest kids organic berry good lemonade,en:sodas,0.0034894837476099425
chocolate walnut bliss snack bites,en:sweet-snacks,0.03919694072657744
steaks haché pur boeuf surgelés 15% mg,en:minced-beef-steak-with-15-fat,0.002103250478011472
"lagg's, bronchtea",en:tea-bags,0.0
isalean whole blend plant-based,en:dietary-supplements,0.04158699808795411
levadura nutricional,en:yeast,0.034392925430210324
"lagg's, chamomile herbal tea",en:tea-bags,0.0
best sweet-potato cookies,en:biscuits,0.0387906309751434
soupe potiron et kiri,en:vegetable-soups,0.0038479923518164438
bio flohsamen,en:energy-drinks,0.027222753346080306
b-ready,en:chocolate-biscuits,0.010994263862332695
salam de vară,en:salami,0.033604206500956024
pears general,en:fresh-pears,0.010109942638623326
55 protein bar,en:protein-bars,0.019000956022944552
velouté de potiron et graines de courge bio,en:pumpkin-soups,0.003298279158699809
mixed berries fruit snacks,en:confectioneries,0.027509560229445507
"lagg's, shave grass herbal tea",en:tea-bags,0.0
légumes et vermicelles,en:reheatable-mixed-vegetables-soup,0.0037045889101338433
zaatar,en:plain-madeleines,0.04426386233269598
wafers,en:biscuits,0.05169694072657744
moringa,en:dietary-supplements,0.03819311663479923
mendiants - studentenhaver,en:nuts,0.043761950286806885
pâte à tartiner chocolat noisette,en:cocoa-and-hazelnuts-spreads,0.05413479923518164
white granulated sugar,en:sugars,0.0375
protein  powder,en:protein-powders,0.038336520076481834
boisson à l'aloe vera,en:groceries,0.0012189292543021031
golden raisins california,en:raisins,0.03011472275334608
chaussons aux abricots,fr:chaussons-aux-abricots,0.035109942638623326
protein drink mix,en:protein-powders,0.010994263862332695
birnen halbe frucht,en:fruits-based-foods,0.006692160611854684
organic tomato sauce arrabiata,en:groceries,0.006596558317399618
pro-tf chocolate,en:protein-powders,0.04110898661567878
snowballs créma lapte,en:confectioneries,0.05719407265774379
raw shrimp,en:frozen-seafood,0.005903441682600382
soupe carottes potiron,en:vegetable-soups,0.004206500956022944
peanut brittle,en:confectioneries,0.04462237093690249
sour fruit gummies,en:candies,0.032504780114722756
cordon bleu de volaille bio,en:poultry-cordons-bleus,0.023398661567877628
açai,en:dietary-supplements,0.05339388145315487
caffe con estratto di ganoderna,de:parfüm,0.032504780114722756
"cool mint flavor dental gum, cool mint",en:confectioneries,0.020004780114722752
"fleischkäsbrät fein zerkleinert, gepökelt, zum backen",de:fleischkäse,0.027270554493307838
linguine pastasecca,it:pasta-di-frumento,0.03281548757170172
kombucha,en:kombuchas,0.00019120458891013384
baharat,fr:huiles-de-ricin,0.038001912045889104
mini-naan-dippers,en:naans,0.02872848948374761
cauliflower & broccoli vegetable patties,en:vegetable-patties,0.009990439770554494
"lindt williams, liquor chocolate with williams pear",en:chocolate-candies,0.04670172084130019
porridge,en:porridge,0.0376434034416826
"fine chocolate candy bar, dark chocolate",en:chocolate-candies,0.040009560229445504
pago smoothie,en:smoothies,0.005592734225621415
rainbow pack,en:berries,0.005138623326959847
herbalife boisson instantanée thé,fr:poudre,0.0362810707456979
sauce tomate aux légumes bio,en:groceries,0.00621414913957935
pesto rosso,en:groceries,0.04510038240917782
mini baguette,en:breads,0.024808795411089865
cheddar tranches,en:cheeses,0.04161089866156788
beignets chocolats noisettes decongelé,en:sweet-fritters,0.03938814531548757
iodized salt,en:groceries,0.0
"candy crush, color bombs chocolate candy",en:chocolate-candies,0.04500478011472275
soft chewy twisted candy bites,en:confectioneries,0.029995219885277247
honey cornbread muffin mix,en:cooking-helpers,0.04051147227533461
organic tomato sauce arrabiata,en:groceries,0.006596558317399618
the best peanut butter cookies,en:biscuits,0.04070267686424474
olive & za’artar maine crisp,en:brazil-nuts,0.03530114722753346
"welch's, freeze-dried apple slices",en:snacks,0.035707456978967496
piadina romagnola alla riminese all'olio extra vergine di oliva,en:piadina,0.03035372848948375
"the madelaine chocolate company, solid milk chocolate",en:chocolate-candies,0.055592734225621415
watermelon,en:watermelons,0.003011472275334608
petits pois verts bio,en:canned-peas,0.007241873804971319
tikka masala,en:groceries,0.00819789674952199
v-protein,en:proteinpulver,0.0372131931166348
houmous oignons caramélisés,en:groceries,0.023350860420650096
coca,en:beverages,9.560229445506692e-05
purée d'amandes blanches grillées bio,fr:pate-de-noix,0.06520076481835564
pâte a tartiner,en:hazelnut-spreads,0.046510516252390055
tiramisu cappuccino,en:coffee-tiramisu,0.028991395793499044
spirulina from france,en:spirulina,0.0390057361376673
purée d'amandes blanches crues bio,fr:pate-de-noix,0.06520076481835564
vital wheat gluten,en:wraps,0.010994263862332695
velouté de potiron,en:pumpkin-soups,0.003011472275334608
mortadelices a la provençale,en:prepared-meats,0.018403441682600382
protein break,en:bodybuilding-supplements,0.044694072657743784
celery hearts,en:fruits-and-vegetables-based-foods,0.001410133843212237
beignet chocolat,fr:beignets-au-chocolat,0.0385038240917782
solid dark chocolate,en:chocolate-candies,0.05260516252390057
mazarella panees,en:cheeses,0.031811663479923515
pain epeautre,fr:pain-a-l-epeautre,0.025597514340344168
baguettes céréales,en:baguettes,0.026888145315487572
"trader joe's, cornichons",en:salted-snacks,0.0017925430210325047
truffes fantaisie biologiques,en:chocolate-truffles,0.06391013384321223
gaspacho à l'andalouse,en:cold-soups,0.002652963671128107
"ryan's, lemonade",en:sodas,0.005401529636711281
beignet moelleux a la pomme,en:sweet-fritters,0.02989961759082218
spray candy,en:confectioneries,0.00489961759082218
rustici pasta legumi,en:gluten-free-pasta,0.030688336520076482
polvo para preparar bebidas,en:instant-beverages,0.035850860420650096
lié big pursoup mouliné de 10 légumes,en:vegetable-soups,0.0035850860420650094
brins de chococaramel,fr:biscuits-au-caramel,0.04629541108986616
peanut butter filled pretzels,en:peanut-filled,0.04851816443594646
proteine isolate,en:protein-powders,0.0375
"pumpkin pie flavored apple cider drink, pumpkin pie",en:beverages,0.005807839388145316
filet de poulet extra tendre thym citron,en:chicken-breasts,0.010803059273422563
brochettes dinde,en:turkeys,0.0130019120458891
powder collagen peptides,en:collogen-peptides,0.007002868068833652
quinoa,en:cereal-grains,0.03429732313575526
2 heads lettuce,en:fruits-and-vegetables-based-foods,0.0010994263862332697
dattes dénoyautées,en:pitted-dates,0.028991395793499044
merguez de poulet,en:poultry-merguez,0.02660133843212237
cauliflower,en:cauliflowers,0.0034416826003824093
vegan 3k-protein,en:protein-powders,0.0372131931166348
isalean shake,en:dietary-supplements,0.04067877629063098
cuisse de poulet direct au four curry,en:chicken-thighs,0.019694072657743786
thé vert matcha du japon,en:japanese-green-teas,0.03336520076481835
chocolate isapro plant-based protein,en:protein-powders,0.037523900573613767
xylit,en:birkenzucker,0.02361376673040153
pindakaas met stukjes pinda,en:spreads,0.0625
100% whey isolate,en:protein-powders,0.03479923518164436
shell-on shrimp,en:frozen-seafood,0.010707456978967494
crunchies,en:biscuits,0.05009560229445507
confiture extra abricot bio,en:apricot-jams,0.017088910133843213
gocciole extra dark,en:biscuits,0.020195984703632888
cauliflower,en:cauliflowers,0.013934034416826004
microwavable artichokes,en:fruits-and-vegetables-based-foods,0.004708413001912046
"super shreds super foods, brussels sprouts shreds",en:fruits-and-vegetables-based-foods,0.004804015296367113
flocons quatre graines,en:blend-of-rolled-cereal-flakes,0.03580305927342256
boîte collector madeleines choconoir,en:chocolate-madeleines,0.04581739961759082
tender broad beans,en:canned-broad-beans,0.006094646271510516
organic hummus,en:hummus,0.007002868068833652
earthcamp vegan protein powder,en:chia,0.0369980879541109
